,產品代碼,評分,品牌代碼,圖片,商品標題,適用年齡,商品種類,成分1,成分2,成分3,成分4,成分5,成分6,成分7,成分8,成分9,成分10,成分11,成分12,成分13,成分14,成分15
0,AF1,1.0090870648992227,AF,10_15-21-39-15.jpg,AFreschi 艾富鮮 小春日和 貓主食罐 貓咪 主食罐 貓罐 80g，雞肉、鮪魚、鮭魚,成貓,主食罐,雞肉,鮪魚,鮭魚,雞湯,鮪魚湯,葛粉,魚油,洋菜,牛磺酸,碳酸鈣,綜合維生素,B群,維生素E,,
1,AF2,0.8242623927013166,AF,10_15-21-39-15.jpg,AFreschi 艾富鮮 小春日和 貓主食罐 貓咪 主食罐 貓罐 80g，雞肉、鮪魚、巴沙魚,成貓,主食罐,雞肉,鮪魚,巴沙魚,雞湯,鮪魚湯,葛粉,魚油,洋菜,牛磺酸,碳酸鈣,綜合維生素,B群,維生素E,,
2,AF3,0.8071973713742019,AF,10_15-21-39-15.jpg,AFreschi 艾富鮮 小春日和 貓主食罐 貓咪 主食罐 貓罐 80g，雞肉、鮪魚、起司,成貓,主食罐,雞肉,鮪魚,雞湯,鮪魚湯,巧達乳酪,葛粉,魚油,洋菜,牛磺酸,碳酸鈣,綜合維生素,B群,維生素E,,
3,AF4,0.8055765829559038,AF,10_15-21-39-15.jpg,AFreschi 艾富鮮 小春日和 貓主食罐 貓咪 主食罐 貓罐 80g，雞肉、鮪魚、南瓜,成貓,主食罐,雞肉,鮪魚,雞湯,鮪魚湯,南瓜,葛粉,魚油,洋菜,牛磺酸,碳酸鈣,綜合維生素,B群,維生素E,,
4,AH1,0.6604689514034234,AH,28_15-21-39-45.jpg,超越巔峰主食貓罐 雞肉/鮭魚/鮪魚/龍蝦/鵪鶉蛋/魚子醬 80g 貓咪罐頭 挑嘴貓 主食罐頭，野牧鮮雞佐國王鮭,成貓,主食罐,雞肉絲,雞心,雞肝,雞胗,鮭魚,水,木薯粉,瓜爾豆膠,維生素E,果寡糖,牛磺酸,,,,
5,AH2,0.4249395544143468,AH,28_15-21-39-45.jpg,超越巔峰主食貓罐 雞肉/鮭魚/鮪魚/龍蝦/鵪鶉蛋/魚子醬 80g 貓咪罐頭 挑嘴貓 主食罐頭，野牧鮮雞佐魚子醬,成貓,主食罐,雞肉絲,雞心,雞肝,雞胗,魚卵,水,木薯粉,瓜爾豆膠,維生素E,果寡糖,牛磺酸,,,,
6,AH3,0.4765161980045682,AH,28_15-21-39-45.jpg,超越巔峰主食貓罐 雞肉/鮭魚/鮪魚/龍蝦/鵪鶉蛋/魚子醬 80g 貓咪罐頭 挑嘴貓 主食罐頭，野牧鮮雞佐貝類,成貓,主食罐,雞肉絲,雞心,雞肝,雞胗,貝類,水,木薯粉,瓜爾豆膠,維生素E,果寡糖,牛磺酸,,,,
7,AH4,0.4277901402375898,AH,28_15-21-39-45.jpg,超越巔峰主食貓罐 雞肉/鮭魚/鮪魚/龍蝦/鵪鶉蛋/魚子醬 80g 貓咪罐頭 挑嘴貓 主食罐頭，野牧鮮雞佐鵪鶉蛋,成貓,主食罐,雞肉絲,雞心,雞肝,雞胗,鵪鶉蛋,水,木薯粉,瓜爾豆膠,維生素E,果寡糖,牛磺酸,,,,
8,As1,0.05466255253668425,As,2_15-21-45-36.jpg,【A star】貓專用 高濃度離胺酸－60G 貓保健 貓保健食品 貓咪保健(F952B03),全齡貓,保健食品,離胺酸,卵磷脂,鳳梨粉,麥芽糊精,乳糖,牛磺酸,凍乾雞肉粉,,,,,,,,
9,CB1,0.991735617577018,CB,12_15-21-41-45.jpg,貓寶 SS60 天然無穀頂級貓糧 3磅/6磅/22磅 寵物飼料 貓咪飼料 貓飼料 幼貓飼料 成貓飼料 高齡貓飼料 貓糧,老齡貓,飼料,雞肉,火雞肉,鴨肉,樹薯,碗豆,鷹嘴豆,雞油,芥花油,鮭魚油,脫水甜菜,水解雞肝,脫水干貝,芝麻,酵母粉,有機蔬果
10,CB2,0.5104253279409477,CB,12_15-21-41-45.jpg,貓寶 SS60 天然無穀頂級貓糧 3磅/6磅/22磅 寵物飼料 貓咪飼料 貓飼料 幼貓飼料 成貓飼料 高齡貓飼料 貓糧,老齡貓,飼料,海洋魚,碗豆,樹薯,鷹嘴豆,雞肉,雞油,芥花油,鮭魚油,脫水甜菜,水解雞肝,脫水干貝,芝麻,酵母粉,有機蔬果,必须礦物質
11,CG1,0.824744671241608,CG,1_15-21-41-25.jpg,Cat Glory 驕傲貓 無穀羊雞肉低敏化毛配方3磅/6磅 貓咪飼料 成貓飼料 幼貓飼料 高齡貓飼料 無穀飼料貓飼料,全齡貓,飼料,羊肉,雞肉,蕃藷,鷹嘴豆,雞脂肪,天然香料,椰子油,甜菜漿,Omega 3,Omega 6,混合魚油,膳食纖維,氯化銨,氯化鉀,完全維生素
